tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,1.600000000000001378e-03
3.000000000000000000e+00,1.000000000000000000e+00,1.600000000000001378e-03
4.000000000000000000e+00,1.000000000000000000e+00,2.400000000000090863e-03
5.000000000000000000e+00,1.000000000000000000e+00,8.000000000000894850e-04
6.000000000000000000e+00,1.000000000000000000e+00,1.600000000000001378e-03
7.000000000000000000e+00,1.000000000000000000e+00,8.000000000000894850e-04
8.000000000000000000e+00,1.000000000000000000e+00,8.000000000000894850e-04
9.000000000000000000e+00,1.000000000000000000e+00,4.824999999999945652e-03
1.000000000000000000e+01,1.000000000000000000e+00,4.025000000000033759e-03
1.100000000000000000e+01,1.000000000000000000e+00,2.400000000000090863e-03
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,4.824999999999945652e-03
1.400000000000000000e+01,1.000000000000000000e+00,4.824999999999945652e-03
1.500000000000000000e+01,1.000000000000000000e+00,5.625000000000035354e-03
1.600000000000000000e+01,1.000000000000000000e+00,5.625000000000035354e-03
1.700000000000000000e+01,1.000000000000000000e+00,5.625000000000035354e-03
1.800000000000000000e+01,1.000000000000000000e+00,5.625000000000035354e-03
1.900000000000000000e+01,1.000000000000000000e+00,8.849999999999979411e-03
2.000000000000000000e+01,1.000000000000000000e+00,5.625000000000035354e-03
2.100000000000000000e+01,1.000000000000000000e+00,5.625000000000035354e-03
2.200000000000000000e+01,1.000000000000000000e+00,5.625000000000035354e-03
2.300000000000000000e+01,1.000000000000000000e+00,5.625000000000035354e-03
2.400000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.500000000000000000e+01,1.000000000000000000e+00,1.127500000000001244e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.287500000000001490e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.367499999999992680e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.367499999999992680e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.772500000000008097e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.095000000000002416e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.577499999999997154e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.657500000000006038e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.980000000000000357e-02
3.800000000000000000e+01,1.000000000000000000e+00,2.980000000000000357e-02
3.900000000000000000e+01,1.000000000000000000e+00,2.980000000000000357e-02
4.000000000000000000e+01,1.000000000000000000e+00,2.980000000000000357e-02
4.100000000000000000e+01,1.000000000000000000e+00,3.140000000000000430e-02
4.200000000000000000e+01,1.000000000000000000e+00,3.625000000000007383e-02
4.300000000000000000e+01,1.000000000000000000e+00,3.785000000000007109e-02
4.400000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02
4.500000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02
4.600000000000000000e+01,1.000000000000000000e+00,4.269999999999996021e-02
4.700000000000000000e+01,1.000000000000000000e+00,4.592500000000008381e-02
4.800000000000000000e+01,1.000000000000000000e+00,4.592500000000008381e-02
4.900000000000000000e+01,1.000000000000000000e+00,4.672499999999999570e-02
5.000000000000000000e+01,1.000000000000000000e+00,4.994999999999993889e-02
5.100000000000000000e+01,1.000000000000000000e+00,5.154999999999994309e-02
5.200000000000000000e+01,1.000000000000000000e+00,5.397499999999997439e-02
5.300000000000000000e+01,1.000000000000000000e+00,5.397499999999997439e-02
5.400000000000000000e+01,1.000000000000000000e+00,5.397499999999997439e-02
5.500000000000000000e+01,1.000000000000000000e+00,5.477500000000005975e-02
5.600000000000000000e+01,1.000000000000000000e+00,5.879999999999992177e-02
5.700000000000000000e+01,1.000000000000000000e+00,5.960000000000000714e-02
5.800000000000000000e+01,1.000000000000000000e+00,6.202500000000003844e-02
5.900000000000000000e+01,1.000000000000000000e+00,6.364999999999998437e-02
6.000000000000000000e+01,1.000000000000000000e+00,6.684999999999999276e-02
6.100000000000000000e+01,1.000000000000000000e+00,7.007499999999992901e-02
6.200000000000000000e+01,1.000000000000000000e+00,7.007499999999992901e-02
6.300000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
6.400000000000000000e+01,1.000000000000000000e+00,7.330000000000005955e-02
6.500000000000000000e+01,1.000000000000000000e+00,7.572500000000008391e-02
6.600000000000000000e+01,1.000000000000000000e+00,7.732500000000008811e-02
6.700000000000000000e+01,1.000000000000000000e+00,8.055000000000003824e-02
6.800000000000000000e+01,1.000000000000000000e+00,8.055000000000003824e-02
6.900000000000000000e+01,1.000000000000000000e+00,8.297500000000006259e-02
7.000000000000000000e+01,1.000000000000000000e+00,8.539999999999992042e-02
7.100000000000000000e+01,1.000000000000000000e+00,8.620000000000001272e-02
7.200000000000000000e+01,1.000000000000000000e+00,9.022500000000004128e-02
7.300000000000000000e+01,1.000000000000000000e+00,9.344999999999999141e-02
7.400000000000000000e+01,1.000000000000000000e+00,9.425000000000008371e-02
7.500000000000000000e+01,1.000000000000000000e+00,9.425000000000008371e-02
7.600000000000000000e+01,1.000000000000000000e+00,9.587500000000001577e-02
7.700000000000000000e+01,1.000000000000000000e+00,1.022999999999999743e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.022999999999999743e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.022999999999999743e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.031249999999999944e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.055250000000000909e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.079499999999999488e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.095499999999999530e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.055250000000000909e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.063499999999999446e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.087500000000000411e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.103749999999999731e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.103749999999999731e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.103749999999999731e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.119749999999999773e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.160000000000000198e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.119749999999999773e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.135999999999999233e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.151999999999999275e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.184250000000000441e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.184250000000000441e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.224500000000000866e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.216499999999999942e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.264749999999999486e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.288999999999999591e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.329250000000000154e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.345250000000000057e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.353500000000000258e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.417749999999999844e-01
