t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00,6.000000000000000000e+01,8.563982420154783881e+01,-1.075406751223134307e+02,8.190085092076559192e+01,0.000000000000000000e+00,5.985000000000000142e+01,3.121099999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,6.000000000000000000e+01,8.563982420154783881e+01,-1.039649427323754196e+02,7.832511853082758080e+01,0.000000000000000000e+00,5.985000000000000142e+01,3.121099999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,6.000000000000000000e+01,8.563982420154783881e+01,-1.005453242531075375e+02,7.490550005155969870e+01,0.000000000000000000e+00,5.985000000000000142e+01,3.121099999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,6.000000000000000000e+01,8.563982420154783881e+01,-9.727500386317669268e+01,7.163517966162885386e+01,0.000000000000000000e+00,5.985000000000000142e+01,3.121099999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,6.000000000000000000e+01,8.563982420154783881e+01,-9.414746331511909716e+01,6.850763911357125835e+01,0.000000000000000000e+00,5.985000000000000142e+01,3.121099999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.000000000000000000e+01,8.563982420154783881e+01,-9.115646894347855778e+01,6.551664474193071896e+01,0.000000000000000000e+00,5.985000000000000142e+01,3.121099999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.000000000000000711e+01,8.563982420154783881e+01,-8.829605924016024687e+01,6.265623503861241517e+01,0.000000000000000000e+00,5.985000000000000142e+01,3.121099999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.000000000000000711e+01,8.554413390599108880e+01,-8.537333015077135201e+01,5.982919624478027032e+01,0.000000000000000000e+00,5.985000000000000142e+01,3.124299999999999855e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.000000000000000000e+01,8.563982420154783881e+01,-8.294843318973899216e+01,5.730860898819115334e+01,0.000000000000000000e+00,5.985000000000000142e+01,3.121099999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.000000000000000711e+01,8.554413390599108880e+01,-8.025917761695941977e+01,5.471504371096833808e+01,0.000000000000000000e+00,5.985000000000000142e+01,3.124299999999999855e+01,5.000000000000000000e+01,1.000000000000000000e+00
