t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00,6.000000000000001421e+01,1.176332764565972440e+02,-1.701307684612439175e+02,1.124974920046466877e+02,0.000000000000000000e+00,5.985000000000000142e+01,2.051200000000000045e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,6.000000000000000000e+01,1.177319570738901433e+02,-1.654122615833381076e+02,1.076803045094479643e+02,0.000000000000000000e+00,5.985000000000000142e+01,2.047899999999999920e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,6.000000000000001421e+01,1.175375861610404939e+02,-1.603307610145591866e+02,1.027931748535187069e+02,0.000000000000000000e+00,5.985000000000000142e+01,2.054400000000000048e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.999999999999998579e+01,1.176332764565972440e+02,-1.560300875727611469e+02,9.839681111616388876e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.051200000000000045e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,6.000000000000000000e+01,1.177319570738901433e+02,-1.519272063056552042e+02,9.419524923176506093e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.047899999999999920e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.000000000000000000e+01,1.178276473694468933e+02,-1.480019121277640011e+02,9.017426475831710775e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.044699999999999918e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.000000000000000000e+01,1.175375861610404939e+02,-1.434975098730269849e+02,8.595992371198649096e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.054400000000000048e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.000000000000001421e+01,1.173462055699270365e+02,-1.393701556343518178e+02,8.202395006442479541e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.060800000000000054e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.000000000000000000e+01,1.174418958654837581e+02,-1.359762516455855916e+02,7.853435578010183349e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.057600000000000051e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.000000000000000000e+01,1.174418958654837581e+02,-1.325474980181354852e+02,7.510560215265172701e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.057600000000000051e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.999999999999998579e+01,1.174418958654837581e+02,-1.292684413140378865e+02,7.182654544855411416e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.057600000000000051e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,6.000000000000000000e+01,1.174418958654837581e+02,-1.261325458730219964e+02,6.869065000753823824e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.057600000000000051e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,6.000000000000000000e+01,1.171518346570774014e+02,-1.225661028244919635e+02,6.541426816741456207e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.067299999999999827e+01,5.000000000000000000e+01,1.000000000000000000e+00
