t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00,4.999999999999998579e+01,1.015274035857031265e+02,-1.486221935735460420e+02,9.709478998784290127e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.089799999999999969e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.015274035857031265e+02,-1.443831047051087353e+02,9.285570111940560878e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.089799999999999969e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000001421e+01,1.014287229684102272e+02,-1.401360385056206042e+02,8.870731553721039120e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.093100000000000094e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.015274035857031265e+02,-1.364561936635860775e+02,8.492879007788295098e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.089799999999999969e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.014287229684102272e+02,-1.325552107128636123e+02,8.112648774445338518e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.093100000000000094e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.015274035857031265e+02,-1.292063393732573786e+02,7.767893578755425210e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.089799999999999969e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.014287229684102272e+02,-1.256218798593101837e+02,7.419315689089995658e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.093100000000000094e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.014287229684102272e+02,-1.223826598606901257e+02,7.095393689227989853e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.093100000000000094e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.015274035857031265e+02,-1.194779147928072263e+02,6.795051120710409975e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.089799999999999969e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.013330326728534914e+02,-1.161309884947422262e+02,6.479795582188873482e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.096300000000000097e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.014287229684102272e+02,-1.134891590555006644e+02,6.206043608709043724e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.093100000000000094e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.013330326728534914e+02,-1.105924421208683981e+02,5.925940944801490673e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.096300000000000097e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,4.999999999999999289e+01,1.013330326728534914e+02,-1.080052188211146245e+02,5.667218614826112599e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.096300000000000097e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,4.999999999999999289e+01,1.011416520817400198e+02,-1.051565461914489958e+02,5.401489410970896898e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.102700000000000102e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.011416520817400198e+02,-1.027982946685922485e+02,5.165664258685222876e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.102700000000000102e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.009472811688903846e+02,-1.001627469841535572e+02,4.921546581526317254e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.109199999999999875e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000711e+01,1.007559005777768988e+02,-9.763962941426629527e+01,4.688372883648940359e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.115599999999999881e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000711e+01,1.006602102822201772e+02,-9.540551662938923982e+01,4.474530634716906974e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.118799999999999883e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.005615296649272778e+02,-9.325891574797481098e+01,4.269738608304753313e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.122100000000000009e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.002744587782570420e+02,-9.083317004121639116e+01,4.055871126295934914e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.131700000000000017e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.003701490738137778e+02,-8.924960862852859123e+01,3.887945955471481341e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.128500000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.000800878654074211e+02,-8.698470076658529138e+01,3.690461290117787030e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.138200000000000145e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,9.959864606588755009e+01,-8.443160764971707977e+01,3.483296158382952967e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.154299999999999926e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,4.999999999999999289e+01,9.959864606588755009e+01,-8.291082553851211401e+01,3.331217947262455681e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.154299999999999926e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,9.959864606588755009e+01,-8.145643968316942107e+01,3.185779361728186743e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.154299999999999926e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000711e+01,9.921289456192442913e+01,-7.931088989676757706e+01,3.009799533484315504e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.167200000000000060e+01,5.000000000000000000e+01,1.000000000000000000e+00
