t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00,4.999999999999998579e+01,9.863576246684783655e+01,-1.429651583124239096e+02,9.432939584557605883e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000001421e+01,9.854007217129110074e+01,-1.386596017466911803e+02,9.011952957540009379e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.189699999999999847e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,9.834570125844147981e+01,-1.343447920122338815e+02,8.599909075379240164e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.196199999999999974e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,4.999999999999998579e+01,9.854007217129110074e+01,-1.309703891426422047e+02,8.243031697135108971e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.189699999999999847e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,9.844139155399820140e+01,-1.271784877351757075e+02,7.873709618117750608e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.192999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,9.815432066732796557e+01,-1.231792741428817379e+02,7.502495347555377236e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.202599999999999980e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,9.815432066732796557e+01,-1.199037385021633639e+02,7.174941783483539837e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.202599999999999980e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,9.815432066732796557e+01,-1.167712103974258326e+02,6.861688973009786707e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.202599999999999980e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,9.844139155399820140e+01,-1.143370546866442936e+02,6.589566313264609221e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.192999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,4.999999999999999289e+01,9.844139155399820140e+01,-1.114600973123210395e+02,6.301870575832283095e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.192999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,9.786425945892160883e+01,-1.075796788158789496e+02,5.971541935695734082e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.212300000000000111e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000711e+01,9.786425945892160883e+01,-1.049725464506733772e+02,5.710828699175177547e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.212300000000000111e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000711e+01,9.795994975447834463e+01,-1.026664424354621303e+02,5.470649268098379281e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.209100000000000108e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,9.766988854607198789e+01,-9.971053766262016893e+01,5.204064911654818104e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.218799999999999883e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,4.999999999999999289e+01,9.776856916336485881e+01,-9.763153316934162262e+01,4.986296400597675671e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.215500000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,4.999999999999999289e+01,9.757419825051523787e+01,-9.507429620483648591e+01,4.750009795432124093e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.221999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,4.999999999999999289e+01,9.757419825051523787e+01,-9.300047600796438019e+01,4.542627775744913521e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.221999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,9.738281765940175205e+01,-9.064279167005904014e+01,4.325997401065728809e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.228399999999999892e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000711e+01,9.738281765940175205e+01,-8.875409224241286665e+01,4.137127458301112171e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.228399999999999892e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,9.699706615543861687e+01,-8.619319070266810456e+01,3.919612454722948769e+01,0.000000000000000000e+00,5.485000000000000142e+01,2.241300000000000026e+01,5.000000000000000000e+01,1.000000000000000000e+00
